,0
0,en
1,tr
2,en
3,pt
4,en
5,fr
6,en
7,es
8,und
9,es
10,pt
11,en
12,es
13,en
14,el
15,en
16,fr
17,sv
18,en
19,en
20,en
21,en
22,tl
23,en
24,en
25,en
26,en
27,sl
28,ja
29,en
30,tr
31,en
32,en
33,de
34,pl
35,en
36,fr
37,en
38,en
39,fr
40,en
41,hi
42,en
43,en
44,en
45,en
46,en
47,en
48,es
49,ja
50,en
51,en
52,en
53,en
54,en
55,und
56,en
57,en
58,en
59,en
60,en
61,hi
62,en
63,ja
64,en
65,en
66,es
67,es
68,en
69,fr
70,es
71,en
72,en
73,en
74,en
75,en
76,in
77,tr
78,en
79,en
80,en
81,en
82,en
83,pt
84,en
85,fr
86,en
87,en
88,en
89,en
90,en
91,en
92,en
93,en
94,pt
95,en
96,pt
97,en
98,es
99,pt
100,en
101,en
102,en
103,pl
104,da
105,en
106,en
107,tr
108,en
109,ja
110,pt
111,en
112,en
113,tr
114,ca
115,en
116,es
117,ja
118,tr
119,es
120,en
121,tr
122,en
123,en
124,en
125,en
126,in
127,tr
128,en
129,es
130,en
131,en
132,en
133,en
134,es
135,en
136,und
137,ko
138,tl
139,en
140,en
141,en
142,en
143,it
144,en
145,en
146,en
147,et
148,en
149,es
150,es
151,en
152,und
153,en
154,tr
155,en
156,en
157,en
158,pt
159,es
160,es
161,en
162,es
163,en
164,en
165,pt
166,es
167,it
168,en
169,fr
170,en
171,en
172,es
173,en
174,en
175,en
176,en
177,es
178,es
179,en
180,en
181,en
182,es
183,pt
184,tr
185,en
186,es
187,en
188,pt
189,fr
190,es
191,en
192,th
193,en
194,es
195,en
196,es
197,en
198,en
199,en
200,es
201,tr
202,es
203,en
204,es
205,en
206,en
207,en
208,hi
209,en
210,en
211,ca
212,pl
213,en
214,en
215,tr
216,fr
217,ko
218,pt
219,pt
220,en
221,und
222,pt
223,en
224,en
225,en
226,en
227,en
228,es
229,en
230,und
231,en
232,en
233,ja
234,en
235,en
236,tr
237,pt
238,en
239,ja
240,tr
241,en
242,en
243,en
244,en
245,en
246,en
247,es
248,pt
249,es
250,es
251,in
252,en
253,en
254,en
255,en
256,en
257,es
258,fr
259,fr
260,fr
261,en
262,en
263,it
264,en
265,en
266,en
267,nl
268,tr
269,en
270,vi
271,en
272,ja
273,tr
274,es
275,tr
276,fr
277,en
278,ca
279,en
280,es
281,nl
282,en
283,en
284,en
285,en
286,pt
287,en
288,en
289,en
290,en
291,es
292,en
293,pt
294,es
295,es
296,tr
297,en
298,en
299,fr
300,pt
301,en
302,en
303,pt
304,es
305,en
306,en
307,pt
308,ja
309,ko
310,pt
311,en
312,en
313,en
314,pt
315,en
316,pt
317,und
318,en
319,es
320,pl
321,es
322,fr
323,en
324,tr
325,en
326,en
327,en
328,en
329,es
330,fr
331,en
332,es
333,en
334,pt
335,pt
336,en
337,es
338,en
339,es
340,es
341,en
342,es
343,tr
344,en
345,en
346,pt
347,en
348,ko
349,und
350,en
351,en
352,pt
353,en
354,in
355,es
356,en
357,es
358,en
359,pl
360,en
361,et
362,fr
363,en
364,en
365,en
366,it
367,en
368,fr
369,es
370,en
371,en
372,fr
373,en
374,es
375,en
376,en
377,en
378,en
379,en
380,el
381,es
382,in
383,en
384,en
385,en
386,es
387,es
388,en
389,und
390,en
